Module	Section	Sample Name	Source
featureCounts	all_sections	SRR3096191.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096192.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096193.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096194.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096195.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096196.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096197.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096198.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096199.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096200.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096626.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096627.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096628.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096629.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096630.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096631.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096632.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096633.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096634.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096635.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096636.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096637.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096638.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096639.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096640.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096641.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
featureCounts	all_sections	SRR3096642.Hisat_aln	/home/shpc_cc89b72d49/RNA-Seq/GSE76718/expression/featureCount/all.id.txt.summary
